"",latency-Q2,memory
1,750.0370370370371,36.192235506497894
2,1647.5533980582525,39.9611701965332
3,1632.8461538461538,42.581902821858726
4,1830.340206185567,45.13285827636719
5,1745.234693877551,46.4157772064209
6,1767.6315789473683,47.609036127726235
7,1804.1145833333333,48.80936813354492
8,1802.9893617021276,50.03892834981283
9,1796.9782608695652,50.91727638244629
10,1881.25,51.78282101949056
11,1688.3473684210526,52.887112299601235
12,1718.4893617021276,54.04755401611328
13,1892.2555555555555,55.11730066935221
14,1730.021505376344,56.22556241353353
